,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Tu,9/22/2020,13.04,13.05,12.57,12.96,10.9329,9.7583,8.2477,257.295k,528.646k
,Mo,9/21/2020,13.15,13.38,12.13,12.87,10.8459,9.7064,8.2166,472.27k,630.206k
,,,,,,,,,,,
,Fr,9/18/2020,13.43,13.98,13.11,13.42,10.7609,9.6576,8.1855,420.702k,832.403k
,Th,9/17/2020,14.76,14.99,13.3,13.37,10.6681,9.6027,8.1521,461.862k,812.236k
,We,9/16/2020,15.01,15.75,15.01,15.15,10.5807,9.5422,8.119,465.434k,796.71k
,Tu,9/15/2020,14.98,15.48,14.71,15.1,10.4589,9.4567,8.0774,413.514k,775.523k
,Mo,9/14/2020,15.41,15.9057,14.92,14.95,10.3439,9.3722,8.0365,431.134k,754.049k
,,,,,,,,,,,
,Fr,9/11/2020,15.5,16.27,15.27,15.51,10.2237,9.2886,7.9968,339.453k,730.015k
,Th,9/10/2020,15.92,16.89,15.13,15.29,10.0857,9.1961,7.9542,682.514k,712.684k
,We,9/9/2020,13.92,16.43,13.92,16.2,9.9509,9.1075,7.9117,741.161k,674.2k
,Tu,9/8/2020,12.89,14.59,12.8,13.89,9.7989,9.0078,7.8643,420.328k,629.969k
,,,,,,,,,,,
,Fr,9/4/2020,12.9,13.67,11.53,13.48,9.6861,8.9326,7.8292,647.991k,610.666k
,Th,9/3/2020,13.2,13.55,12.52,12.84,9.5965,8.8639,7.7965,549.39k,572.455k
,We,9/2/2020,14,14,12.92,13.4,9.5177,8.8041,7.7676,721.017k,544.536k
,Tu,9/1/2020,12.45,13.13,12.3,13.05,9.4273,8.7361,7.7351,905.627k,507.028k
,Mo,8/31/2020,11.6,13.16,11.6,12.22,9.3451,8.6764,7.7053,1.781M,456.887k
,,,,,,,,,,,
,Fr,8/28/2020,10.05,12,9.9671,11.56,9.2807,8.6227,7.679,3.505M,354.564k
,Th,8/27/2020,10.28,10.33,9.8201,10.05,9.2303,8.5759,7.6559,118.202k,146.689k
,We,8/26/2020,10.44,10.66,10.28,10.28,9.2173,8.547,7.6405,228.97k,148.085k
,Tu,8/25/2020,10.12,10.34,10.04,10.33,9.1977,8.5112,7.6241,147.621k,142.336k
,Mo,8/24/2020,9.99,10.14,9.89,10.1,9.1769,8.4704,7.6078,91409,144.919k
,,,,,,,,,,,
,Fr,8/21/2020,9.83,10.02,9.7364,9.98,9.1559,8.4284,7.5934,70631,146.186k
,Th,8/20/2020,9.98,10.1,9.69,9.83,9.1345,8.3925,7.581,79483,146.678k
,We,8/19/2020,10.03,10.3073,10.03,10.1,9.1337,8.3594,7.5669,105.254k,144.653k
,Tu,8/18/2020,10,10.13,9.92,10.03,9.1265,8.3191,7.5502,77687,144.354k
,Mo,8/17/2020,10,10.2,9.93,10,9.1125,8.2781,7.5336,130.789k,145.17k
,,,,,,,,,,,
,Fr,8/14/2020,10.01,10.08,9.795,10.04,9.0915,8.2353,7.5167,74824,142.965k
,Th,8/13/2020,9.84,10.2,9.84,10.07,9.0705,8.1892,7.5014,130.608k,140.752k
,We,8/12/2020,9.83,9.95,9.46,9.9,9.0607,8.1384,7.4864,158.403k,136.174k
,Tu,8/11/2020,10.13,10.3,9.5335,9.7,9.0497,8.0934,7.4716,153.504k,128.023k
,Mo,8/10/2020,10.24,10.73,10.09,10.1,9.0363,8.047,7.4573,245.849k,124.758k
,,,,,,,,,,,
,Fr,8/7/2020,10,10.435,9.62,10.11,9.0049,7.9911,7.4423,387.104k,116.735k
,Th,8/6/2020,9.8,10,9.61,9.85,8.9711,7.9349,7.4262,139.134k,101.46k
,We,8/5/2020,9.32,9.72,9.27,9.66,8.9515,7.8749,7.4113,142.739k,100.573k
,Tu,8/4/2020,9.15,9.59,9.1193,9.3,8.9363,7.8198,7.3964,186.366k,103.167k
,Mo,8/3/2020,8.73,9.15,8.73,9.07,8.9137,7.7715,7.3834,110.421k,98926
,,,,,,,,,,,
,Fr,7/31/2020,8.91,8.93,8.48,8.76,8.8943,7.7324,7.3708,78010,104.625k
,Th,7/30/2020,9,9,8.71,8.97,8.8791,7.699,7.3607,49101,109.284k
,We,7/29/2020,9.1,9.21,8.89,9.055,8.8527,7.663,7.3505,100.765k,113.373k
,Tu,7/28/2020,8.92,9.1917,8.92,9.1,8.83,7.6304,7.3408,89929,113.645k
,Mo,7/27/2020,8.57,9.15,8.57,9.07,8.7986,7.6,7.3365,97725,117.06k
,,,,,,,,,,,
,Fr,7/24/2020,8.67,8.67,8.43,8.57,8.7682,7.5739,7.3326,41616,126.339k
,Th,7/23/2020,8.83,8.87,8.56,8.76,8.7474,7.5525,7.3302,61941,139.507k
,We,7/22/2020,9.16,9.16,8.74,8.77,8.724,7.5306,7.3268,36144,146.087k
,Tu,7/21/2020,9.06,9.25,8.8,8.84,8.697,7.5038,7.3232,104.524k,149.403k
,Mo,7/20/2020,8.25,9.05,8.1,9.01,8.6654,7.4798,7.3194,125.502k,151.812k
,,,,,,,,,,,
,Fr,7/17/2020,8.37,8.47,8.24,8.29,8.6438,7.4555,7.3145,157.984k,239.248k
,Th,7/16/2020,8.57,8.66,8.37,8.41,8.638,7.4391,7.3148,125.832k,242.161k
,We,7/15/2020,8.81,8.88,8.51,8.66,8.6298,7.4269,7.3169,181.639k,248.081k
,Tu,7/14/2020,8.66,8.78,8.46,8.62,8.61,7.4118,7.3168,122.758k,249.333k
,Mo,7/13/2020,8.74,8.99,8.57,8.61,8.5836,7.4002,7.315,195.901k,245.837k
,,,,,,,,,,,
,Fr,7/10/2020,8.71,8.865,8.52,8.62,8.5668,7.3875,7.3154,147.9k,243.319k
,Th,7/9/2020,9.04,9.2799,8.64,8.78,8.5544,7.3745,7.3152,110.433k,240.854k
,We,7/8/2020,9.01,9.24,8.99,9,8.5374,7.36,7.3158,104.85k,238.76k
,Tu,7/7/2020,9.24,9.37,9.05,9.06,8.5038,7.3426,7.3165,141.154k,240.134k
,Mo,7/6/2020,9.08,9.54,9.08,9.35,8.4546,7.3249,7.3168,236.9k,239.533k
,,,,,,,,,,,
,Th,7/2/2020,8.67,9.4,8.67,8.94,8.4006,7.3039,7.3142,239.15k,230.863k
,We,7/1/2020,8.52,8.76,8.45,8.61,8.3534,7.2846,7.3144,160.635k,221.308k
,Tu,6/30/2020,8.54,8.6,8.39,8.55,8.3066,7.268,7.3163,85881,215.269k
,Mo,6/29/2020,8.6,8.98,8.26,8.6,8.264,7.2523,7.3186,140.664k,215.78k
,,,,,,,,,,,
,Fr,6/26/2020,8.91,8.99,8.25,8.25,8.2168,7.2375,7.3222,1.437M,219.223k
,Th,6/25/2020,8.9,9.17,8.8,9,8.179,7.2256,7.3275,201.679k,132.457k
,We,6/24/2020,8.81,9.07,8.74,8.9,8.1314,7.2063,7.3277,214.637k,128.763k
,Tu,6/23/2020,8.94,9.11,8.8401,8.88,8.0904,7.1872,7.3292,200.419k,125.044k
,Mo,6/22/2020,8.95,9.04,8.73,8.94,8.045,7.168,7.3302,70312,121.783k
,,,,,,,,,,,
,Fr,6/19/2020,9.02,9.25,8.84,9,8.0078,7.1501,7.3296,158.129k,126.776k
,Th,6/18/2020,9.16,9.35,8.864,9.04,7.9646,7.1325,7.33,110.932k,122.956k
,We,6/17/2020,9.26,9.56,9.26,9.4,7.9216,7.1129,7.3278,79016,121.691k
,Tu,6/16/2020,9.4,9.57,9.03,9.3,7.8768,7.0939,7.3219,125.461k,123.927k
,Mo,6/15/2020,8.81,9.47,8.4,9.29,7.8248,7.0729,7.3154,132.143k,128.149k
,,,,,,,,,,,
,Fr,6/12/2020,9.02,9.3,8.84,9.05,7.7638,7.0524,7.3071,106.858k,126.076k
,Th,6/11/2020,9.57,9.57,8.91,8.91,7.7008,7.0333,7.2992,95823,147.192k
,We,6/10/2020,9.79,9.85,9.32,9.79,7.6504,7.0148,7.292,70053,146.415k
,Tu,6/9/2020,9.32,9.9,9.3,9.74,7.585,6.9875,7.2794,93543,150.077k
,Mo,6/8/2020,8.99,9.58,8.95,9.33,7.5118,6.9669,7.2668,192.301k,152.544k
,,,,,,,,,,,
,Fr,6/5/2020,9.17,9.3212,8.95,8.95,7.4436,6.9512,7.2565,135.544k,147.029k
,Th,6/4/2020,9.51,9.78,8.97,8.99,7.3792,6.9382,7.2487,146.269k,142.73k
,We,6/3/2020,9.4,9.69,9.335,9.58,7.308,6.9271,7.2406,158.85k,136.822k
,Tu,6/2/2020,9.1,9.385,8.9604,9.35,7.2162,6.9077,7.2298,151.51k,134.8k
,Mo,6/1/2020,8.53,9.2251,8.47,9.03,7.1372,6.8902,7.2175,145.212k,131.714k
,,,,,,,,,,,
,Fr,5/29/2020,8.31,8.59,7.92,8.53,7.0576,6.8748,7.2071,100.827k,154.757k
,Th,5/28/2020,8.98,8.98,8.25,8.42,6.9774,6.8646,7.2009,91954,153.247k
,We,5/27/2020,8.9,8.98,8.33,8.87,6.8987,6.8551,7.1943,112.563k,151.808k
